run,genint,repetition,Module,avg_delay,delivered,dispatched
General-18-20190516-17:10:31-4528,1,0,Network.nodeRx.sink,4.229,197,197
General-17-20190516-17:10:31-4528,0.95,0,Network.nodeRx.sink,4.268,218,218
General-16-20190516-17:10:31-4528,0.9,0,Network.nodeRx.sink,42.487,222,223
General-15-20190516-17:10:31-4528,0.85,0,Network.nodeRx.sink,43.304,244,244
General-14-20190516-17:10:31-4528,0.8,0,Network.nodeRx.sink,44.306,250,251
General-13-20190516-17:10:31-4528,0.75,0,Network.nodeRx.sink,4.471,272,272
General-11-20190516-17:10:31-4528,0.65,0,Network.nodeRx.sink,44.901,302,302
General-12-20190516-17:10:31-4528,0.7,0,Network.nodeRx.sink,44.756,306,308
General-9-20190516-17:10:31-4528,0.55,0,Network.nodeRx.sink,46.464,365,368
General-10-20190516-17:10:31-4528,0.6,0,Network.nodeRx.sink,46.013,389,391
General-8-20190516-17:10:31-4528,0.5,0,Network.nodeRx.sink,47.264,413,413
General-7-20190516-17:10:31-4528,0.45,0,Network.nodeRx.sink,46.395,461,463
General-6-20190516-17:10:31-4528,0.4,0,Network.nodeRx.sink,49.161,515,516
General-5-20190516-17:10:31-4528,0.35,0,Network.nodeRx.sink,53.737,538,538
General-4-20190516-17:10:31-4528,0.3,0,Network.nodeRx.sink,64.805,659,660
General-3-20190516-17:10:31-4528,0.25,0,Network.nodeRx.sink,77.777,800,804
General-2-20190516-17:10:31-4528,0.2,0,Network.nodeRx.sink,5.2504,986,1019
General-1-20190516-17:10:31-4528,0.15,0,Network.nodeRx.sink,263.444,992,1350
General-0-20190516-17:10:31-4528,0.1,0,Network.nodeRx.sink,328.795,998,1979
