run,genint,repetition,Module,avg_delay,delivered,dispatched,drop_count
18,1,0,Network.nodeRx.sink,0.42306259766336,197,197,0
17,0.95,0,Network.nodeRx.sink,0.42702694552646,218,218,0
16,0.9,0,Network.nodeRx.sink,0.4250833797685,222,223,0
15,0.85,0,Network.nodeRx.sink,0.43333951039102,244,244,0
14,0.8,0,Network.nodeRx.sink,0.44341822510869,250,251,0
13,0.75,0,Network.nodeRx.sink,0.44746495538412,272,272,0
12,0.7,0,Network.nodeRx.sink,0.44794096390235,306,308,0
11,0.65,0,Network.nodeRx.sink,0.44949043068094,302,302,0
10,0.6,0,Network.nodeRx.sink,0.4606939198412,389,391,0
9,0.55,0,Network.nodeRx.sink,0.46519332029285,365,368,0
8,0.5,0,Network.nodeRx.sink,0.47341770365946,413,413,0
7,0.45,0,Network.nodeRx.sink,0.46456583833544,461,463,0
6,0.4,0,Network.nodeRx.sink,0.49245401358633,515,516,0
5,0.35,0,Network.nodeRx.sink,0.53868233463691,538,538,0
4,0.3,0,Network.nodeRx.sink,0.6516291951733,659,660,0
3,0.25,0,Network.nodeRx.sink,0.7863472154028,800,804,0
2,0.2,0,Network.nodeRx.sink,5.4620491537628,983,1019,0
1,0.15,0,Network.nodeRx.sink,28.814844406714,989,1350,0
0,0.1,0,Network.nodeRx.sink,49.950793801252,995,1979,0
