run,genint,repetition,Module,avg_delay,delivered,dispatched
General-3-20190523-18:11:42-9125,0.25,0,Network.nodeRx.sink,0.7863472154028,800,NaN
General-6-20190523-18:11:42-9125,0.4,0,Network.nodeRx.sink,0.49245401358633,515,NaN
General-7-20190523-18:11:42-9125,0.45,0,Network.nodeRx.sink,0.46456583833544,461,NaN
General-8-20190523-18:11:42-9125,0.5,0,Network.nodeRx.sink,0.47341770365946,413,NaN
General-5-20190523-18:11:42-9125,0.35,0,Network.nodeRx.sink,0.53868233463691,538,NaN
General-9-20190523-18:11:42-9125,0.55,0,Network.nodeRx.sink,0.46519332029285,365,NaN
General-10-20190523-18:11:42-9125,0.6,0,Network.nodeRx.sink,0.4606939198412,389,NaN
General-4-20190523-18:11:42-9125,0.3,0,Network.nodeRx.sink,0.6516291951733,659,NaN
General-11-20190523-18:11:42-9125,0.65,0,Network.nodeRx.sink,0.44949043068094,302,NaN
General-12-20190523-18:11:42-9125,0.7,0,Network.nodeRx.sink,0.44794096390235,306,NaN
General-13-20190523-18:11:42-9125,0.75,0,Network.nodeRx.sink,0.44746495538412,272,NaN
General-14-20190523-18:11:42-9125,0.8,0,Network.nodeRx.sink,0.44341822510869,250,NaN
General-2-20190523-18:11:42-9125,0.2,0,Network.nodeRx.sink,5.4620491537628,983,NaN
General-0-20190523-18:11:42-9125,0.1,0,Network.nodeRx.sink,49.950793801252,995,NaN
General-18-20190523-18:11:42-9125,1,0,Network.nodeRx.sink,0.42306259766336,197,NaN
General-17-20190523-18:11:42-9125,0.95,0,Network.nodeRx.sink,0.42702694552646,218,NaN
General-1-20190523-18:11:42-9125,0.15,0,Network.nodeRx.sink,28.814844406714,989,NaN
General-16-20190523-18:11:42-9125,0.9,0,Network.nodeRx.sink,0.4250833797685,222,NaN
General-15-20190523-18:11:42-9125,0.85,0,Network.nodeRx.sink,0.43333951039102,244,NaN
General-17-20190523-18:11:42-9125,0.95,0,Network.nodeTx.gen,NaN,NaN,218
General-2-20190523-18:11:42-9125,0.2,0,Network.nodeTx.gen,NaN,NaN,1019
General-16-20190523-18:11:42-9125,0.9,0,Network.nodeTx.gen,NaN,NaN,223
General-4-20190523-18:11:42-9125,0.3,0,Network.nodeTx.gen,NaN,NaN,660
General-11-20190523-18:11:42-9125,0.65,0,Network.nodeTx.gen,NaN,NaN,302
General-13-20190523-18:11:42-9125,0.75,0,Network.nodeTx.gen,NaN,NaN,272
General-7-20190523-18:11:42-9125,0.45,0,Network.nodeTx.gen,NaN,NaN,463
General-3-20190523-18:11:42-9125,0.25,0,Network.nodeTx.gen,NaN,NaN,804
General-15-20190523-18:11:42-9125,0.85,0,Network.nodeTx.gen,NaN,NaN,244
General-10-20190523-18:11:42-9125,0.6,0,Network.nodeTx.gen,NaN,NaN,391
General-6-20190523-18:11:42-9125,0.4,0,Network.nodeTx.gen,NaN,NaN,516
General-0-20190523-18:11:42-9125,0.1,0,Network.nodeTx.gen,NaN,NaN,1979
General-1-20190523-18:11:42-9125,0.15,0,Network.nodeTx.gen,NaN,NaN,1350
General-9-20190523-18:11:42-9125,0.55,0,Network.nodeTx.gen,NaN,NaN,368
General-12-20190523-18:11:42-9125,0.7,0,Network.nodeTx.gen,NaN,NaN,308
General-14-20190523-18:11:42-9125,0.8,0,Network.nodeTx.gen,NaN,NaN,251
General-5-20190523-18:11:42-9125,0.35,0,Network.nodeTx.gen,NaN,NaN,538
General-8-20190523-18:11:42-9125,0.5,0,Network.nodeTx.gen,NaN,NaN,413
General-18-20190523-18:11:42-9125,1,0,Network.nodeTx.gen,NaN,NaN,197
