run,genint,repetition,Module,avg_delay,delivered,dispatched
General-15-20190523-21:14:46-10843,0.85,0,Network.nodeRx.sink,0.4330444284238,244,NaN
General-12-20190523-21:14:46-10843,0.7,0,Network.nodeRx.sink,0.44755743449059,306,NaN
General-13-20190523-21:14:46-10843,0.75,0,Network.nodeRx.sink,0.44709748328341,272,NaN
General-11-20190523-21:14:46-10843,0.65,0,Network.nodeRx.sink,0.44900884127697,302,NaN
General-10-20190523-21:14:46-10843,0.6,0,Network.nodeRx.sink,0.46012777700082,389,NaN
General-9-20190523-21:14:46-10843,0.55,0,Network.nodeRx.sink,0.46464099152573,365,NaN
General-8-20190523-21:14:46-10843,0.5,0,Network.nodeRx.sink,0.47264304376178,413,NaN
General-5-20190523-21:14:46-10843,0.35,0,Network.nodeRx.sink,0.53736813389341,538,NaN
General-14-20190523-21:14:46-10843,0.8,0,Network.nodeRx.sink,0.44306312855788,250,NaN
General-2-20190523-21:14:46-10843,0.2,0,Network.nodeRx.sink,5.2504001901426,986,NaN
General-6-20190523-21:14:46-10843,0.4,0,Network.nodeRx.sink,0.49160579894016,515,NaN
General-16-20190523-21:14:46-10843,0.9,0,Network.nodeRx.sink,0.42486736692749,222,NaN
General-1-20190523-21:14:46-10843,0.15,0,Network.nodeRx.sink,28.534111590815,992,NaN
General-4-20190523-21:14:46-10843,0.3,0,Network.nodeRx.sink,0.6480542566398,659,NaN
General-7-20190523-21:14:46-10843,0.45,0,Network.nodeRx.sink,0.46394692247386,461,NaN
General-17-20190523-21:14:46-10843,0.95,0,Network.nodeRx.sink,0.42680235837049,218,NaN
General-0-20190523-21:14:46-10843,0.1,0,Network.nodeRx.sink,49.741569311069,998,NaN
General-3-20190523-21:14:46-10843,0.25,0,Network.nodeRx.sink,0.77776652067885,800,NaN
General-18-20190523-21:14:46-10843,1,0,Network.nodeRx.sink,0.42290167194589,197,NaN
General-13-20190523-21:14:46-10843,0.75,0,Network.nodeTx.gen,NaN,NaN,272
General-5-20190523-21:14:46-10843,0.35,0,Network.nodeTx.gen,NaN,NaN,538
General-0-20190523-21:14:46-10843,0.1,0,Network.nodeTx.gen,NaN,NaN,1979
General-12-20190523-21:14:46-10843,0.7,0,Network.nodeTx.gen,NaN,NaN,308
General-4-20190523-21:14:46-10843,0.3,0,Network.nodeTx.gen,NaN,NaN,660
General-14-20190523-21:14:46-10843,0.8,0,Network.nodeTx.gen,NaN,NaN,251
General-11-20190523-21:14:46-10843,0.65,0,Network.nodeTx.gen,NaN,NaN,302
General-6-20190523-21:14:46-10843,0.4,0,Network.nodeTx.gen,NaN,NaN,516
General-3-20190523-21:14:46-10843,0.25,0,Network.nodeTx.gen,NaN,NaN,804
General-15-20190523-21:14:46-10843,0.85,0,Network.nodeTx.gen,NaN,NaN,244
General-16-20190523-21:14:46-10843,0.9,0,Network.nodeTx.gen,NaN,NaN,223
General-10-20190523-21:14:46-10843,0.6,0,Network.nodeTx.gen,NaN,NaN,391
General-2-20190523-21:14:46-10843,0.2,0,Network.nodeTx.gen,NaN,NaN,1019
General-8-20190523-21:14:46-10843,0.5,0,Network.nodeTx.gen,NaN,NaN,413
General-18-20190523-21:14:46-10843,1,0,Network.nodeTx.gen,NaN,NaN,197
General-9-20190523-21:14:46-10843,0.55,0,Network.nodeTx.gen,NaN,NaN,368
General-1-20190523-21:14:46-10843,0.15,0,Network.nodeTx.gen,NaN,NaN,1350
General-7-20190523-21:14:46-10843,0.45,0,Network.nodeTx.gen,NaN,NaN,463
General-17-20190523-21:14:46-10843,0.95,0,Network.nodeTx.gen,NaN,NaN,218
